,Institution,INST,Year,Public (1)/Private (2),Control,City,State,Status,Number of articles published by institution (Scopus),Average # of pubs per teaching faculty,Number of references in the articles published by institution (Scopus),pasted values from Y,Average number of references used in articles published by each institution,pasted values from AA,Research and Development Expenditures (HERD) - $ dollars in thousands,Volumes Held,Total Interlibrary Lending,Total Interlibrary Borrowing,Initial Circulation,Annual Gate Count,Total Prof.+Support+Student Staff,Total Materials Expenditures,Professional Salaries & Wages,Support Staff Salaries & Wages,Student Assistant Wages,Total Salaries & Wages,Other Operating Expenditures,Total Library Expenditures,Total Fulltime Students,"Part-time students, undergraduate and graduate",Total Fulltime Graduate Students,Part-time graduate students,Doctor's Degrees Awarded,Doctor's Degree Fields,Total Teaching Faculty,Titles held,Electronic books,One-time resource purchases,Ongoing resource purchases,Collection support,"Fringe Benefits, Dollar amount","Fringe Benefits, Official designated percent",Number of successful full-text article requests,Number of regular searches,Number of federated searches,Herd/ faculty,Library expenditures/ faculty,number of full-text article requests/ facutly
,Institution,instution_code,Average,priv-pub,,,,R1R2,total_publications,av_pubs_per_faculty,,total_references_in_pubs,,av_references_article,HERD,volumes_held,ILLlend,ILLborrow,circulation,gatecount,totalstaff,materials_expend,prof_salaries,support_staff_salaries,,,Other_operating_exp,total_lib_expendatures,total_full_time_students,,total_gradstudents,,degrees_awarded,degree_fields,total_teaching_faculty,titles_held,ebooks,,,,fringeben,fringbenpercent,fulltext-article-requests,regular-searches,federated-searches,av_herd_per_faculty,av_library_expend_per_faculty,av_full_text_articlere_quest_perfaculty
4,Arizona State University-Tempe,1,Average,1,Public,Tempe,AZ,R1,3438,1.159108956,176759.3333,176759.3333,51.38715413,51.38715413,507222.3333,5063159,28879,37332,149188,3136442,,12201641.33,4336934.333,5688139,513412.6667,10538486,3246790.333,25986917.67,69938.66667,21006.33333,10759.66667,6485.333333,886,86,2967.666667,4451865.333,1045600,1866126.333,10036732.67,298782.3333,3824772.333,37.66666667,5477415.667,10950160.33,63616.66667,171,8757,3690
8,Boston College,2,Average,2,PrivateNP,Boston,MA,R1,817.6666667,1.017682083,37530.33333,37530.33333,45.89179465,45.89179465,53439.33333,3625675,26169.33333,31172.33333,152209.3333,2063662.333,,13052596,6521703.667,2855318.333,776581.6667,10153603.67,1176777.333,24382977,12955.66667,1291.666667,3478,1027,391,32.66666667,804,2880183.333,762009,3081922.667,9635548.333,335125,3394554.333,37.16666667,1175968.333,5461894.333,#VALUE!,66,30327,6793
12,Boston University,3,Average,2,PrivateNP,Boston,MA,R1,4713,1.81571853,208678.3333,208678.3333,44.29405333,44.29405333,401872.3333,4778594.667,13989.66667,12885.33333,67042.66667,2069050,,11836004.33,6974403.667,3614875.667,625802.6667,11215082,1935129.667,24986216,26632,6648.666667,9510,4732,1132.333333,139,2596.333333,3767111.667,1764067,1625701.667,9894953.333,315349.3333,2849313.333,28.2,3590841,5172603,129863.3333,155,9624,1992
16,Brigham Young University-Provo,4,Average,2,PrivateNP,Provo,UT,R2,1157,0.923980246,52566.66667,52566.66667,45.39930451,45.39930451,41612,4971457,29533.33333,27223.66667,284628.6667,2736871,,13045968.67,8576350,2557006.333,3358323.333,14491679.67,3145530.333,30683178.67,26616.66667,2837.666667,2001,1275.666667,96,24.66666667,1252,4617527,936592.6667,2188054.667,10503723.67,354190.3333,5141890.333,43.48333333,2469001,19536875,4445399.333,33,24507,15605
20,Brown University,5,Average,2,PrivateNP,Providence,RI,R1,3548,4.192013557,154167,154167,43.46841589,43.46841589,300448.6667,5922794.667,36453,34665,127095.6667,1051974.667,,12587833.67,5414094.333,3724577.667,381118,9519790,2733991.333,24841615,8948.666667,524.6666667,2569.333333,195.3333333,221.6666667,46,849.3333333,4531402.333,1852869.667,3955046.333,7655010.667,977776.6667,2778374.667,30.4,1929419,1001501.333,592.6666667,354,29248,1179
24,Case Western Reserve University,6,Average,2,PrivateNP,Cleveland,OH,R1,3433.666667,5.159580073,147292.3333,147292.3333,42.9043279,42.9043279,405263.6667,3570505.333,21482.33333,17544.33333,68254.66667,477882,,7425101.667,3896510,1097196.333,576001.3333,5569707.667,1633816.667,14628626,10139.33333,1119,5214.333333,982.6666667,651,58.66666667,665.6666667,2946356.333,911956.6667,1426660,5804099,194342.6667,1502089,30.83333333,1600090.667,1948838.333,#VALUE!,609,21976,2928
28,Colorado State University-Fort Collins,7,Average,1,Public,Fort Collins,CO,R1,2533.333333,1.785717428,127507,127507,50.24922256,50.24922256,329161.6667,2383631,67939.66667,33112.66667,71792.66667,1558607.667,,8571774.667,4607362,2692642.333,677886.6667,7977891,1677516.667,18227182.33,24213.33333,7414,3146,4250.666667,371.3333333,46.66666667,1422,1992798,533102.6667,1005293.667,6939617.333,626863.6667,2608207.333,25,2498083.333,1816663,36618.66667,231,12818,1278
32,Columbia University in the City of New York,8,Average,2,PrivateNP,New York,NY,R1,6680.666667,2.842284925,307043.3333,307043.3333,45.95698116,45.95698116,866177.6667,13639533,48601,55485.66667,270130.6667,4969654.333,,32068236,22900978,7121299.333,1630781.667,31653059,5523485.333,69244780.33,28354.66667,7934.666667,18254,7224.333333,1125.333333,189,2350.333333,9588401.667,2362239.333,9807396,18790286.33,3470553.667,9734974.333,30.83333333,8468479.333,42960961,660284,369,29462,18279
36,Cornell University,9,Average,2,PrivateNP,Ithaca,NY,R1,4801.333333,1.441247763,238054.3333,238054.3333,49.58745269,49.58745269,971029.6667,9554465.333,53033.66667,46049,217532.3333,3671654.667,443.3333333,21351686.67,15936461,8099287.333,896091.3333,24931839.67,7643029.333,53926555.67,22981.66667,85.66666667,8548.666667,74,942.6666667,111,3331.666667,7583441,1448760.333,#VALUE!,#VALUE!,#VALUE!,6919904,35.6,5386624,,#VALUE!,291,16186,
